Beat Saber Playtime,1,2,3,4,5,6,7,8,9,10,11,12
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording C is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording B is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording C is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording D is artificially created or digitally modified,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,Recording B is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording C is artificially created or digitally modified,,,,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,Recording D is artificially created or digitally modified,,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,,,,,,,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording C is artificially created or digitally modified,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,Recording D is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording A is artificially created or digitally modified,,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,All four recordings contain unmodified human motion data,,,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,,,,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording A is artificially created or digitally modified,,Recording A is artificially created or digitally modified,,Recording B is artificially created or digitally modified,Recording B is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,,,,,,,,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,Recording D is artificially created or digitally modified,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,,All four recordings contain unmodified human motion data,,,,,,All four recordings contain unmodified human motion data,,
"Yes, I have played Beat Saber for more than 100 hours.",,All four recordings contain unmodified human motion data,,,,,,,All four recordings contain unmodified human motion data,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,All four recordings contain unmodified human motion data,,,,Recording A is artificially created or digitally modified,,,All four recordings contain unmodified human motion data,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,,,Recording D is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording D is artificially created or digitally modified,,,Recording A is artificially created or digitally modified,,Recording A is artificially created or digitally modified,,Recording C is artificially created or digitally modified,,Recording B is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,All four recordings contain unmodified human motion data,
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording B is artificially created or digitally modified,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording C is artificially created or digitally modified,,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,Recording C is artificially created or digitally modified,,,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,Recording C is artificially created or digitally modified,,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording C is artificially created or digitally modified,,,,,Recording A is artificially created or digitally modified,Recording C is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording C is artificially created or digitally modified,Recording C is artificially created or digitally modified,,,All four recordings contain unmodified human motion data,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,Recording D is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording A is artificially created or digitally modified,,,Recording B is artificially created or digitally modified,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,,All four recordings contain unmodified human motion data,,,,All four recordings contain unmodified human motion data,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording B is artificially created or digitally modified,,,,Recording B is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for less than 10 hours.",,Recording D is artificially created or digitally modified,,,,Recording C is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording D is artificially created or digitally modified,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data
"No, I have never played Beat Saber.",,,,,,,,,,,,Recording B is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording A is artificially created or digitally modified,,,,,All four recordings contain unmodified human motion data,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",Recording C is artificially created or digitally modified,Recording D is artificially created or digitally modified,,,,,Recording D is artificially created or digitally modified,,Recording B is artificially created or digitally modified,,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,Recording D is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",Recording C is artificially created or digitally modified,,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,,,Recording D is artificially created or digitally modified,,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording D is artificially created or digitally modified,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording A is artificially created or digitally modified,,,,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,,Recording B is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,Recording D is artificially created or digitally modified,,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,,,,,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,,,,Recording B is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,Recording C is artificially created or digitally modified,Recording C is artificially created or digitally modified,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,,,,All four recordings contain unmodified human motion data
"No, I have never played Beat Saber.",,,,,,,,,All four recordings contain unmodified human motion data,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,All four recordings contain unmodified human motion data,,,,Recording B is artificially created or digitally modified,,,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording A is artificially created or digitally modified,,,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,Recording D is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording A is artificially created or digitally modified,,
"Yes, I have played Beat Saber for less than 10 hours.",,,,Recording B is artificially created or digitally modified,,,Recording D is artificially created or digitally modified,,,,,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording B is artificially created or digitally modified,,,,,
"No, I have never played Beat Saber.",,,,,,,,,All four recordings contain unmodified human motion data,,,All four recordings contain unmodified human motion data
"No, I have never played Beat Saber.",,Recording A is artificially created or digitally modified,,,,,,,Recording C is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,All four recordings contain unmodified human motion data,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,All four recordings contain unmodified human motion data,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording B is artificially created or digitally modified,,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,,,,,,,,,Recording A is artificially created or digitally modified,Recording B is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified,,,,,,Recording C is artificially created or digitally modified,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording C is artificially created or digitally modified,,,,,,,Recording C is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,All four recordings contain unmodified human motion data,,Recording B is artificially created or digitally modified,Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording C is artificially created or digitally modified,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,,,,,,All four recordings contain unmodified human motion data,,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,Recording B is artificially created or digitally modified,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,Recording A is artificially created or digitally modified,,,Recording C is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,All four recordings contain unmodified human motion data,,,Recording B is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,All four recordings contain unmodified human motion data,,All four recordings contain unmodified human motion data,,,All four recordings contain unmodified human motion data,All four recordings contain unmodified human motion data,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,All four recordings contain unmodified human motion data,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,Recording A is artificially created or digitally modified,,Recording C is artificially created or digitally modified,All four recordings contain unmodified human motion data,,Recording D is artificially created or digitally modified,,Recording B is artificially created or digitally modified,Recording D is artificially created or digitally modified,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,,,Recording B is artificially created or digitally modified,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for less than 10 hours.",,,,,,,,Recording A is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,Recording A is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,,,Recording B is artificially created or digitally modified,Recording A is artificially created or digitally modified,,,Recording D is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,Recording B is artificially created or digitally modified,,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording C is artificially created or digitally modified,,,,Recording A is artificially created or digitally modified,,,All four recordings contain unmodified human motion data,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,Recording A is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording C is artificially created or digitally modified,,Recording D is artificially created or digitally modified,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording D is artificially created or digitally modified,,,Recording D is artificially created or digitally modified,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording C is artificially created or digitally modified,Recording B is artificially created or digitally modified,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,Recording A is artificially created or digitally modified,,,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording A is artificially created or digitally modified,,Recording A is artificially created or digitally modified,,Recording A is artificially created or digitally modified,
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording A is artificially created or digitally modified,,Recording B is artificially created or digitally modified,Recording C is artificially created or digitally modified,,All four recordings contain unmodified human motion data,,,,
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,,,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,Recording B is artificially created or digitally modified,,,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,All four recordings contain unmodified human motion data,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,All four recordings contain unmodified human motion data,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,Recording A is artificially created or digitally modified,,,,,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,Recording A is artificially created or digitally modified,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,Recording A is artificially created or digitally modified,,,,,,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,Recording B is artificially created or digitally modified,,,,,,Recording D is artificially created or digitally modified,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,,Recording A is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,Recording A is artificially created or digitally modified,Recording B is artificially created or digitally modified,,,Recording D is artificially created or digitally modified,,Recording B is artificially created or digitally modified,,,All four recordings contain unmodified human motion data
"Yes, I have played Beat Saber for more than 100 hours.",Recording C is artificially created or digitally modified,,All four recordings contain unmodified human motion data,Recording C is artificially created or digitally modified,,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,Recording A is artificially created or digitally modified,Recording D is artificially created or digitally modified,All four recordings contain unmodified human motion data,Recording B is artificially created or digitally modified
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,Recording A is artificially created or digitally modified,,,,,
"Yes, I have played Beat Saber for more than 100 hours.",,,,,,,,,,,Recording C is artificially created or digitally modified,
"Yes, I have played Beat Saber for between 10 and 100 hours.",,,,,,,,Recording A is artificially created or digitally modified,,Recording D is artificially created or digitally modified,Recording D is artificially created or digitally modified,
